JOB ID,TEST STATUS,TEST END,TEST SUBMISSION ID,FAILED COMMENTS,SCRIPT NAME,SUITE NAME,CHANGED BY,ANALYSIS,ANALYSED BY,CATEGORY,TEST INFO ID,TICKET NUMBER,UPDATED TIME
370316,ABORTED,5/25/2021 12:45,9365193,,PR853328.pl_2388_Default,RPD_PC_ISIS,,,,,,,
370316,FAILED,5/25/2021 14:22,9365191,"Same Failure is seen in the baseline, Please refer DR ID 9364908",sr_isis_static_lan_adjacency_sid_mts006_vmx,RPD_PC_ISIS_SR_MTS,pct-admin,,,,,,
370313,FAILED,5/25/2021 13:33,9365130,,sr_isis_oam_v6_adv1.robot_129706_Default,RPD_PC_ISIS-SPRING,,,,,,,
370313,ABORTED,5/25/2021 12:17,9365126,This script is not supported for this Branch/Release,flex_algo_isis_cfd_mts1.robot_144872_Default,RPD_PC_ISIS_MTS,pct-admin,,,,,,
370370,FAILED,5/25/2021 12:03,9364943,Ignoring because of core pattern rule ID 2,vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370054,FAILED,5/25/2021 12:22,9365092,,cos_shapingrate.robot_zt,VMX_ZT_COS1_S2C,,INCONSISTENT SW PR-1596398,kbethoju,INCONSISTENT SW PR,21510373,1596398,5/25/2021 13:32
370345,FAILED,5/25/2021 12:06,9365048,Ignoring because of core pattern rule ID 2,vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370318,FAILED,5/25/2021 12:45,9365042,"Ignoring because of core pattern rule ID 2,2,2,2,2,2",vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370347,ABORTED,5/25/2021 12:38,9365012,,isis_basic_mts1_vArdbeg,ardbeg_basic_platform_sanity,,,,,,,
370337,FAILED,5/25/2021 12:40,499827,,,unit-test,,,,,,,
370337,FAILED,5/25/2021 11:44,499827,,,VBRACKLA_PFERESTART_DEV,,,,,,,
370349,FAILED,5/25/2021 11:38,9364764,,host_transit_traffic.robot_zt,atanmukh-vmx_zt_sanity-evos2c-239350,,,,,,,
370370,FAILED,5/25/2021 11:35,501342,,,ferrari_basic_platform_sanity,,,,,,,
370370,FAILED,5/25/2021 11:49,501342,,,unit-test,,,,,,,
370280,ABORTED,5/25/2021 12:45,9364917,,jdhcpd_Client_Relay_Server_sanity.pl_CI_NP,S2C-SRX-MASTER-TEST-SUITE-18.4,,,,,,,
370404,FAILED,5/25/2021 11:41,505418,,,scapa_basic_platform_sanity,,,,,,,
370399,FAILED,5/25/2021 11:44,505408,,,ardbeg_basic_platform_sanity,,,,,,,
370331,FAILED,5/25/2021 11:44,499954,,,ferrari_basic_platform_sanity,,,,,,,
370331,FAILED,5/25/2021 11:44,499954,,,unit-test,,,,,,,
370311,ABORTED,5/25/2021 11:41,9364857,,protocols_GRES.pl_PCT_3_1,KERNEL_PC_PEER_INFRA,,,,,,,
370054,FAILED,5/25/2021 12:15,9364824,"Same Failure is seen in the baseline, Please refer DR ID 9362170",sanity_firewall_isf.robot_zt,VZT_PCT_FIREWALL_PRODUCTION,pct-admin,,,,,,
370054,FAILED,5/25/2021 12:24,9364824,"Same Failure is seen in the baseline, Please refer DR ID 9362170",sanity_firewall_policer.robot_zt,VZT_PCT_FIREWALL_PRODUCTION,pct-admin,,,,,,
370054,FAILED,5/25/2021 12:41,9364824,"Same Failure is seen in the baseline, Please refer DR ID 9362170",sanity_firewall_basic.robot_zt,VZT_PCT_FIREWALL_PRODUCTION,pct-admin,,,,,,
370393,FAILED,5/25/2021 11:25,504994,,,brackla_basic_platform_sanity,,,,,,,
370054,ABORTED,5/25/2021 11:48,9364814,,cos_shapingrate.robot_zt,VMX_ZT_COS1_S2C,,,,,,,
370384,FAILED,5/25/2021 11:09,505155,,,unit-test,,,,,,,
370384,FAILED,5/25/2021 11:28,505155,,,brackla_basic_platform_sanity,,,,,,,
370349,FAILED,5/25/2021 11:23,484325,,,brackla_basic_platform_sanity,,,,,,,
370349,FAILED,5/25/2021 11:44,484325,,,S2C_PFE_VBRACKLA_L2,,,,,,,
370354,FAILED,5/25/2021 11:23,505391,,,redbull_basic_platform_sanity,,,,,,,
370354,FAILED,5/25/2021 11:05,505391,,,unit-test,,,,,,,
370354,FAILED,5/25/2021 11:23,505391,,,scapa_basic_platform_sanity,,,,,,,
370288,ABORTED,5/25/2021 11:37,9364717,,pmi_s2s_gcm_ipv4_PCT_FCC,S2C-SRX-VSRX-VPN-PMI_IKED,,,,,,,
370288,ABORTED,5/25/2021 12:29,9364714,,snmpmib_ikev2_2.pl_17368_Default,S2C-SRX-SEC-VPN-IKEV2-SNMPMIB,,,,,,,
370288,ABORTED,5/25/2021 12:19,9364708,,dep_misc.robot_143798_CI_NP,S2C-SRX-SEC-DEP-MISC-18.2,,,,,,,
370288,ABORTED,5/25/2021 12:29,9364706,,vsrx3_vpn_avpn_drp_ikev2_natt_ipv4_7_pct,S2C-SRX-VSRX-VPN-NATT_IKED,,,,,,,
370288,ABORTED,5/25/2021 11:36,9364701,,s2s_dpd_virtual.robot_PCT_FCC,S2C-SRX-VSRX-VPN-S2S_IKED,,,,,,,
370288,ABORTED,5/25/2021 12:13,9364692,,vpn_sanity1.pl_16538_Default,S2C-SRX-VPN1,,,,,,,
370289,FAILED,5/25/2021 12:51,9364651,,avpn_ts_ikev2_basic_2_virtual_PCT_FCC,S2C-SRX-VSRX-VPN-AutoVPN-P2P-TrafficSelector_IKED,,,,,,,
370349,FAILED,5/25/2021 11:05,484325,,,redbull_basic_platform_sanity,,,,,,,
370349,FAILED,5/25/2021 11:05,484325,,,brackla_basic_platform_sanity,,,,,,,
370349,FAILED,5/25/2021 11:35,484325,,,vscapa_aft_mpls,,,,,,,
370349,FAILED,5/25/2021 11:24,484325,,,unit-test,,,,,,,
370349,FAILED,5/25/2021 11:05,484325,,,S2C_PFE_VBRACKLA_L2,,,,,,,
370333,ABORTED,5/25/2021 11:43,9364613,ABORTED BY pct-admin after job is completed,vscapa_l3,scapa_basic_platform_sanity,pct-admin,,,,,,
370333,ABORTED,5/25/2021 11:43,9364613,ABORTED BY pct-admin after job is completed,vscapa_l2,scapa_basic_platform_sanity,pct-admin,,,,,,
370333,ABORTED,5/25/2021 11:43,9364614,ABORTED BY pct-admin after job is completed,ae_l2_l3_test_vbrackla_split,brackla_basic_platform_sanity,pct-admin,,,,,,
370333,ABORTED,5/25/2021 11:43,9364614,ABORTED BY pct-admin after job is completed,ae_l2_l3_test_vbrackla,brackla_basic_platform_sanity,pct-admin,,,,,,
370333,ABORTED,5/25/2021 11:43,0,ABORTED BY pct-admin after job is completed,,redbull_basic_platform_sanity,pct-admin,,,,,,
370333,ABORTED,5/25/2021 11:43,0,ABORTED BY pct-admin after job is completed,,ferrari_basic_platform_sanity,pct-admin,,,,,,
370308,FAILED,5/25/2021 12:08,505355,,,unit-test,,,,,,,
370308,FAILED,5/25/2021 11:05,505355,,,ifmansanitytoby,,,,,,,
370307,FAILED,5/25/2021 12:03,505349,,,unit-test,,,,,,,
370307,FAILED,5/25/2021 11:23,505349,,,brackla_basic_platform_sanity,,,,,,,
370276,ABORTED,5/25/2021 12:28,9364479,,jdhcpd_Client_Relay_Server_sanity.pl_CI_NP,S2C-SRX-MASTER-TEST-SUITE-18.4,,,,,,,
370276,ABORTED,5/25/2021 11:43,9364479,,idp_rod_he_vSRX.pl_CI,S2C-SRX-MASTER-TEST-SUITE-18.4,,,,,,,
370276,FAILED,5/25/2021 11:29,9364476,,J151X49_D70_RLI29018_on_box_logging_func_negative_alarm.pl_CI_NP,S2C-SRX-ONBOX-LOGGING,,,,,,,
370269,FAILED,5/25/2021 11:01,9364420,,AE_ON_P_PE_VPLS_Instance_kernel_pct,KERNEL_PC_DCD,,,,,,,
370269,FAILED,5/25/2021 12:32,9364420,"Same Failure is seen in the baseline, Please refer DR ID 9363349",vplsGeneral_iflFloodExtd_vlan_887_Default,KERNEL_PC_DCD,pct-admin,1597539,sherinp,BASELINE SW PR,21508509,1597539,5/26/2021 9:28
370269,FAILED,5/25/2021 16:11,9364430,"Same Failure is seen in the baseline, Please refer DR ID 9362209",s2s_rb1.robot_NFX350_PCT,S2C-SRX-NFX350-VPN,pct-admin,Failed due to baseline PR,asairam,BASELINE SW PR,21508497,1597563,5/25/2021 16:36
370276,ABORTED,5/25/2021 11:08,9364447,,182_RLI_32211_apbr_sla_policies_1.robot_NP_CI,S2C-SRX-APP-LEVEL-SUMMARIZATION,,,,,,,
370269,FAILED,5/25/2021 11:20,9364419,,nfx350_platform_pct.pl_143032_Default,SW_PRECOMMIT_BIRA_PlatformSanity,,,,,,,
370276,FAILED,5/25/2021 12:10,9364406,"Same Failure is seen in the baseline, Please refer DR ID 9363825",ng_log_profile_ha.robot_144821_CI_NP,S2C-SRX-SEC-NG-LOG-PROFILE_21.1,pct-admin,,,,,,
370266,FAILED,5/25/2021 10:56,9364228,"Same Failure is seen in the baseline, Please refer DR ID 9312238",bgp_pr738206.pl_1118_Default,RPD_PC_BGP_Sharding,pct-admin,,,,,,
370280,FAILED,5/25/2021 12:50,9364249,,security_log_lsys_tenant_toogle.robot_134517_CI_NP,S2C-SRX-PLT-SEC-LOG-LSYS-TENANT-TOOGLE_20.3,,,,,,,
370266,FAILED,5/25/2021 10:46,9364228,"Same Failure is seen in the baseline, Please refer DR ID 9312238",ipv6_l3vpn_pe_ce_bgp_xport6.pl_765_Default,RPD_PC_BGP_Sharding,pct-admin,,,,,,
370266,FAILED,5/25/2021 11:11,9364232,,L2_PCT_EVPN_VXLAN_DEV_UT_ERB_VMX_SANITY_20.4,L2_PCT_EVPN_VXLAN_DEV_UT_ERB_VMX_SANITY_20.4,,,,,,,
370215,FAILED,5/25/2021 10:35,9364146,"Ignoring because of core pattern rule ID 2,2,2,2,2,2",vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370315,FAILED,5/25/2021 11:35,495133,,,PCT_xmen_w_rcb,,,,,,,
370280,FAILED,5/25/2021 11:06,9364108,,jdhcpd_Client_Relay_Server_sanity.pl_CI_NP,S2C-SRX-MASTER-TEST-SUITE-18.4,pct-admin,,,,,,
370280,FAILED,5/25/2021 10:48,9364086,"Same Failure is seen in the baseline, Please refer DR ID 9361956",ng_log_profile_ha.robot_144821_CI_NP,S2C-SRX-SEC-NG-LOG-PROFILE_21.1,pct-admin,Passed in Rerun  log: https://inception.juniper.net/fusion/v2?submission_id=9364914-PCTID-370280-1592857-9,mkona,BASELINE SW PR,21507741,1593830,5/25/2021 15:33
370273,FAILED,5/25/2021 9:28,505296,,,ferrari_basic_platform_sanity,,,,,,,
370273,FAILED,5/25/2021 9:21,505296,,,scapa_basic_platform_sanity,,,,,,,
370273,FAILED,5/25/2021 9:33,505296,,,brackla_basic_platform_sanity,,,,,,,
370200,ABORTED,5/25/2021 9:17,9362816,,phy_brackla_platform_sanity_s2c,phy_brackla_platform_sanity_s2c,,,,,,,
370281,FAILED,5/25/2021 10:16,9364058,,J151_RLI20643_QFX10K_ipv6_l3rewrites_4_SW_PHY_RIAD,SW-PRECOMMIT-ELIT-COS1,,,,,,,
370315,FAILED,5/25/2021 9:21,495133,,,brackla_basic_platform_sanity,,,,,,,
370315,FAILED,5/25/2021 9:03,495133,,,coverity,,,,,,,
370285,FAILED,5/25/2021 9:28,503996,,,S2C_GLENROTHES_INTERFACES,,,,,,,
370285,FAILED,5/25/2021 10:20,503996,,,unit-test,,,,,,,
370285,FAILED,5/25/2021 9:10,503996,,,brackla_basic_platform_sanity,,,,,,,
370315,FAILED,5/25/2021 8:58,495133,,,coverity,,,,,,,
370315,FAILED,5/25/2021 9:28,495133,,,redbull_basic_platform_sanity,,,,,,,
370315,FAILED,5/25/2021 9:34,495133,,,PCT_xmen_w_rcb,,,,,,,
370315,FAILED,5/25/2021 9:10,495133,,,brackla_basic_platform_sanity,,,,,,,
370315,FAILED,5/25/2021 8:48,495133,,,unit-test,,,,,,,
370299,FAILED,5/25/2021 9:26,505340,,,unit-test,,,,,,,
370186,ABORTED,5/25/2021 9:25,9363688,1 out of 1 users analyzed,toxicity_check_CD_CI_Restart_Demones.pl_129739_Default,PHY_PLATFORM_ODIN_BATCH,,Images have not been built as part of this job and older images got reused leading to this issue. We are unblocking this commit as it is nowhere related to this failure observed here.,vengadesh,INFRA-BUILD,21507222,PR-1597530,5/25/2021 14:19
370303,FAILED,5/25/2021 8:14,9363344,Ignoring because of core pattern rule ID 2,vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370298,FAILED,5/25/2021 8:43,505338,,,unit-test,,,,,,,
